Time Stamp,Region,Latitude,Longitude,Density,zipcode
07-19-2021,Figueroa Park Square,34.065295,-118.24476200000001,0.16456898598907624,90012
07-19-2021,Florence-Firestone,33.9674263,-118.2433068,0.3852777870133324,90001
07-19-2021,Gardena,33.8963593,-118.3053037,0.10810988974768866,90247
07-19-2021,Glassell Park,34.1161201,-118.22896270000001,0.116257434295777,90065
07-19-2021,Glendale,34.146941600000005,-118.24784709999999,0.10250241809478933,91210
07-19-2021,Glendora,34.136118700000004,-117.86533899999999,0.09436566458687842,91740
07-19-2021,Gramercy Place,33.8677941,-118.31354640000002,0.13226758016937862,90504
07-19-2021,Granada Hills,34.26615579999999,-118.5174342,0.12022515665380396,91344
07-19-2021,Green Meadows,33.9409877,-118.26299679999998,0.19344497607655506,90002
07-19-2021,Hacienda Heights,33.993067700000005,-117.96867549999999,0.09713731376066186,91745
